match,player,translated_message,label
14,2,"""my easy""",0
14,3,"""my easy""",0
14,4,"""My dick will go into your ass"". ""don't show off"". ""I fuck you solo"". hahahahahahaha. ""go to Roshan"". hahahahahahahah. ""look at my farm and at yours"". ""is this solo?"". hahahahahahahahahahahah",0
14,5,"""3 sec"". ""or better 2"". ""khvakhv"". gg",0
14,6,"""now 5 sec"". ""ahahaha"". ""killed"". ""hahaha"". ""hahaha"". ""of course"". ""hahaha"". ""stood 1"". ""My midlaner is a down."". ""suck"". ""yes"". ""and Ramzes""",0
14,8,"""will come in"". ""already restarted"". ""minute"". ""is it so that I don't kill you with one hit?"". ""and you kind of revived with such swagger and beat the shit out of me""",0
14,9,"""I'M COMING"". HAHAHA",0
15,0,"""this is unwinding"". ""oh"". ""Not arguing"". ""the previous one"". ""was the same"". yes. ""Midas Phase Boots"". ""after orchid"". ""and the whole map like that""",0
15,1,"""I'm the filling for the sandwich""",0
15,2,""")"". ""I'm not calling for help"". ""they come on their own"". (""("". ""we are at Roshan"". ""go dragon"". ""I'm not a booster"". ""I'm a sandwich"". ""it's all good"". ""In the next game, we'll play together."". https://anylvl.com. https://anylvl.com",0
15,5,"""Yes, I understand)"". ""just like that"". ""to warm up"". ""I'm shocked by you"". ""always under a clarity""",0
15,7,"""cum on the Furion"". ""going to the forest when there's a WK there"". ""building Midas)"". ""and is standing AFK there)"". ""Splits bot when the base is falling"". ""thx""",0
15,8,"""What the fuck, can't handle it alone?"". ""Calling for help, you fucker on a booster?"". ""just explain"". ""why do you get a booster"". ""and we have a debuster"". ""Not arguing, I'm bad."". ""but fuck"". ""and I am a tomato""",0
15,9,"""HOW DO YOU DO THIS"". ""DEMON"". ""just easily salted"". :D",0
16,1,gg. hahaha,0
16,2,"""wait"". toilet. ""1 min"". thank you",0
16,4,"see. so close. ""I'm not""",0
16,6,throne,0
16,9,"so close... indeed. just end. ""blademail and ulti"". ""you dead"". ""but can't both so fast"". try again?. wait. ""door""",0
17,0,"Red Hot Chili Peppers - Scar Tissue [Official Music Video]. "".i."". xddd. lol. lol. lol. lol",0
17,2,"???. XD. ""hahahahahahahahaha"". ""you're going to lose anyway"". ""hahahahahahaha"". hahaha. ""these dogs love me"". ""Why doesn't that sniper have items??"". hahaha. ""they always kill me two at a time"". ????. 3. ""hahaha"". ""sniper??"". ""BKB and ultimate for that??""",0
17,6,report sniper,0
17,7,"""jkkhhkhjj"". I NEED RAMPAGE. NICE MAN",0
17,8,"""catch us, clown"". ""You're lacking game sense.""",0
18,3,"""he got reported"". hahahahaha. ""more dota"". ""hahahah you're an idiot"". Delete Dota. play. ""play seriously"". Gg. gg",1
18,4,"lol. Thank you. WTF IS THAT IMBALANCE SPELL. ""wtf is that hero"". ""confirm nerf next patch"". ""now"". ""WHY AM I MATCHED WITH THIS RETARD"". ""How is a fucking Shadow Fiend dying 10+ times fatter than our carry?"". ""total junk team"". I am done.. ""go fucking end"". ""this fucking AM"". ""my team outplayed me"". ""no one can buy a BKB in my team by the way"". ""region locked"". ""only available for Dire"". ... ""MANTA DODGE SILENT YOU FUCKFACE AM"". ""we know"". ... ""Do you want Anti-Mage?"". ""i can have SF and win the game in 20 fucking minutes"". ""fucking core"". ..",1
18,5,"sadfl.k;jasdghfl,jkasdgfas,djfasd. ""Your mother is a whore."". ""Your mother is a whore"". BOUNTY. NICE BOUNTY. Im outplayed. FUCK YOU. no teleport. ""you out played me"". haha. ""cheese"". THAT AXE. HAHA",1
18,6,GG,0
18,7,"AM didn't even kill anyone. ""you have a noob AM"". ""and we have noob SF"". ""he reported me from the first second of the game""",0
18,8,"""never buy wards"". ""then say well played"". ""because we had Luna"". still report Luna",0
18,9,"wp!. ""well played!"". ""what the damn fuck"". HAHAHHAHA. Good game. easy. HAHAHAHA",0
19,0,"maphack. g. thx. ""nice quadrilane mid"". assholes",1
19,1,"""What?"". Thanks, I guess.. gg wp",0
19,2,?. easy,0
19,3,"?. "".???"". ""??????"". ""?"". Nice gank.. ????. ?. ?. ?. ""?????????????????????"". ?. ???????????",0
19,4,"""easy easy""",0
19,5,gg well played,0
19,6,"""fuck you still"". ""??"". ""???????"". ""Why save him? Let me kill him, fucker."". ""sorry for flaming"". ?. ""Good game, well played, good luck next."". ?",1
19,8,gg. lol,0
19,9,"""my back up did not show"". ""we would have torn you a new asshole"". nice ward. ?",0
20,0,GG,0
20,4,What are you doing in my smoke. What are you doing in my smoke?. GG,0
20,5,well done,0
20,6,gg,0
20,8,"""wait a sec please"". ggwp. t. ""that rioki pick""",0
21,0,"""cry"". ""you ENEMY NOOB"". Hahaha. ""YOU NOOB SHIT""",1
21,1,"""haha silence can't cast""",0
21,2,sad,0
21,3,WHY?. HAHA. Easy,0
21,4,Bye. wow. gg,0
21,5,"""what bye?"". FACELESS VOID. why hate me :(. ""why hate me"". :(. snipshit. ok",0
22,0,"""TERROR"". ""HOW DID YOU FARM?"". ""COMPLETELY EASY("". ""look at the shit"". ""you deserve it"". hahaha. ""Fucked you all"". ""Isn't it time for you to go to school?""",1
22,2,"HAHAHAHA. ""and you're not bad"". ""he went to school""",0
22,7,"""What is going on in your head when you decide to shit this out in the chat"". ""just don't know"". ""Well, I'm watching you show off here."". ""you are shit)"". ""and I fucked your mother))0"". No.",0
22,9,"The message ""GEWSRfdhgj,k"" does not contain recognizable words or phrases in any language and appears to be a random string of characters.",0
23,1,I'm buying this Assault Cuirass.,0
23,2,"""hahahaha"". ""All"". Gfg. ""Good game"". gF. ""Good fight"". fF. g. f",0
23,5,"""press J to Dance"". ""Ride"". ""You guys are so rich T_T"". ""you have a lot of buybacks"". Paper. sad. ""ancient, right?""",0
23,6,"haha. awww. bad Queen of Pain. ""MEEPO. ARE YOU REALLY ANCIENT?"". SO YOU ARE DIVINE?. ""Harsh on support"". WHY ALWAYS ME MEEPO :). ""INLOVE WITH ME?"". SAD",0
24,1,"""?""",0
24,3,"""fucking pick 2 offlane""",0
24,4,"""huh?"". ""what's your problem""",0
24,7,"""sf wannabe"". ^^. never mind. ""..""
. ... ""why always easy"". hahahahaha. ""You're so stupid"". ""??"". NOOB. SHIT",0
25,1,":d. ""How are you bullshit?"". :D. ahahaha. :DDDD. so bad. bullshit. :D. F*CKKKKKKKKKKKK!!!. ""F*CK YEAH!!!"". ""F*CK!!!"". ""F*CK!!!"". lol. bullshit. :D. ""come on bs"". show something. "":?D"". lol. hahaha",0
25,2,animal planet,0
25,7,"fuck you. You motherfucker.. jungle sucks. ""player"". idiot. ""fuck you"". easy. game. sniper. noob. What the fuck. tiny. fuck you. noob. report storm. flamer. this retard. blame me. Easy. fu. bastard. team noob. Axe leave me alone. piece of shit. ""Storm reported!"". ""I have 3 easy kills"". Easy. hahahaha. What the fuck. Where are you?. noob",1
25,9,"""easy blood"". NO BRO, I QUIT DOTA. ""First Dota BS"". LOL this bullshit speaks easy noobs feed. ""EASY MID AND ZERO BULLSHIT"". ""Easy mid"". ""LOL WHY FOR YOUR FEED"". ""Oh my god, easy kill Bloodseeker"". ""Thank you for easy bullshit.""",1
26,0,"""such lies""",0
26,1,"lol. gg. ""well played guys"". was fun",0
26,2,"""lol you desperately want to win this one hahaha"". lol. lol. ""well played"". ahh wow that makes sense. LOL. haha. ""lol we picked a techies to have fun sooo"". lol gg. ""wp pig""",0
26,3,"why not. nope. ""nice gem"". ""well played"". <3",0
26,4,4 carries is a bit desperate. gg wp,0
26,5,"revenge time?. ""abandoning if that's fine guys?"". w. t. f. I pick Techies.. I think I'm good.. x. X. XD. whattattatatattata. yeah. ouch. Fuck. ""techies you are actually a fucking cunt"". ""like this game would have been done 20 years ago"". ""but we can't fucking push high"". yeah. easy",0
26,6,lol. gg wp,0
26,7,"""at least that Invoker isn't here"". ""so i won't get as angry"". ""in real life"". gg",0
27,0,"""2 min please <3"". Thank you <3. ha?. what a fucking russian dogs :). 1 minute. lul",1
27,1,"OH. ""felt like some humor in the morning""",0
27,2,"""What's the point of having Zeus in the offlane?"". ""I live in Dubai, there's no Russian keyboard here"". ""With your junkies, you can only take Roshan."". commend void",0
27,3,"""fuck you're funny"". AHAHAHAHAHAH. AHAHAHAHAHAHAHAH. ""Let's use the Chronosphere on the fountain"". HAHAHAHAHA. HAHAHAHAHAHAHAH. ""ZEUS ULT"". HAHAHAHAHA. HAHAHAHAHA. ""all 9 ahahahaha"". ""HAHAHAHAHAHA"". ""ntk Uber ahahahahaha"". hahahaha. ""stop please"". HAHAHAHA. ""Take that, bitch, on both of you"". ""your mother is my mother"". ""brother"". ""go incest"". ""Pleasure"". GG. ""void top"". ""against AM the guy farmed at least"". _. +",0
27,6,gg,0
27,7,"""GO ROSHAN WHILE THEY DON'T SEE"". HEY. HJ@H@HH@H@H@H@H@H@. H@H@H@H@H@H@H@. ""Zeus die first"". ""STAND UNDER T2"". ""REMOVE THE PAUSE"". ""I WAS WAITING FOR VOID"". AHAHAHHA. ""VOID DOESN'T KNOW"". ""WHAT AM I SAYING""",0
27,8,"no =3. ""no idea )0)0"". ""wants to die often"". ""what's the point of transliteration?"". XD. ""WE WON'T GO (go)"". ""MANY FLASKS AND ROSH IS OURS"". ""Wanna bet?)))))))))))"". ""Let's go fountain on the Chronosphere"". H@H@H@H@H@. ""HE CAN'T, I ALREADY USED MY ULT"". ""HAHAHAHAHAHA SO FUCKING FUNNY HAHAHAHAHA I'LL TELL MY NEIGHBOR NOW"". ""HE WILL ALSO LAUGH AND WILL BE ROARING WITH LAUGHTER"". ""Uber, are you by any chance from Novosibirsk?"". ""Because I feel like they've frozen all your humor"". ""HAHAHAHAHA"". ""HA HA HA INVOKER'S MOTHER IS DEAD"". ""Hey, throw a Sun Strike at your mother"". ""Was it against you that I was supposed to lane as DK?"". Sun Striker). ""now I'm Silencer and you're Invoker, because last time everyone left)"". ""easy"". easy. ""Easy invoker""",1
27,9,ahahha,0
28,0,"""thank you for the wards c:""",0
28,2,"""sons of bitches"". bitch. ""bitch"". good job. noob. gg. ""report that Slardar"". ""didn't shut up the whole game"". ""the slardar says"". ""who doesn't know what it is"". ""doesn't know how to write offlane"". XD. GG REPORT SLARDAR",1
28,3,"xd. ""easy mid"". report lion carry. ""easy oof"". ""that happens when you have two Peruvian carries and a Peruvian oof with 300 apm"". ""and my carries??"". ""died like Peruvian whores"". agg. ""damn it's boring to play with Peruvians"". ""Luna with BKB"". xd. Haha. lol. ""a trash legend"". ""how disgusting"". ""doesn't know how to go oof and goes oof"". ""how disgusting"". ""my Luna hits the one with leggings, now I see why he dies like a whore"". ""my shadow doesn't know how to use ult""",1
28,5,"""typical jungle internet""",0
28,6,"The message is already in English: ""HOW LONG DID IT TAKE YOU GUYS TO FIND THIS MATCH?"". The message is already in English.. GG",0
28,7,"zzzzz. ""Peruvian connection"". lol. ""I don't speak taco"". zzzzz. lol. ""lol noobs"". ""3 vs 1 support"". easy. ""2:4 core Sand King noob"". ""lol easy Sand King"". easy. ez sk",1
28,9,GG,0
29,0,"""has predicted their team will win!"". ""has a streak of 10 successfully predicted wins."". Good game. RAMPAGE. HAHHA. GG. SCCC",0
29,2,"has abandoned the game.. ""command me"". ""commend me"". scccc. ""Scccccccccccc""",0
29,4,xd. has left the game.. has abandoned the game.. sCCC. gg,0
30,0,"""I did."". ""I don't want to see him in this match."". ""Don't touch Lion"". ""Bitch"". lol",0
30,2,"""250 HP in one hit?"". ""Don't talk nonsense"". ""Go home, trash"". ""biotrash"". ""nice at throwing blame"". ""school"". ""as you say, biotrash"". ""your don't care"". ""I play"". ""easy Morta"". haha. ""I take it you're part of that group of 4?"". bpb. easy. ""yeah, you too"". ""What did you do to me in the offlane"". ""Nothing"". ""You didn't stop me from last-hitting creeps"". ""there you go, think about it, trash on Mortred"". ""Just haven't seen a Mortred in a long time that hits a Spectre under maxed 3rd skill."". ""and just stands there taking damage to the face"". easy",1
30,3,:(,0
30,8,"""Who banned Ursa? :)"". ""why the fuck?)"". ""One hit away and you're picking your nose.""",0
30,9,"""so that idiots don't pick and play normal heroes"". ""you"". ""he had 1 hp"". ""he used solar"". ""Are you an idiot?"". ""trash go home"". ""pity bio-trash"". ""Must be shitty to be you"". ""then be specific"". ""stupid bullshit"". ""without a comma"". ""booo"". ""Is it supposed to be offensive?"". ""the fact that you won because of 4 dumbasses"". ""Stupid, then, if you think so."". ""Chaos is a trash carry"". ""Pangolier is a useless piece of shit just like Centaur."". ""and Storm is just useless"". ""Are you answering?"". ""Oh no, am I the offlaner?"". ""no?"". ""piss-covered face"". ""Are you answering?"". ""That's the team"". ""That's a thank you, Gaben."". ""they stand..."". ""watching"". ""don't give a fuck at all"". ""here's the whole midlaner""",1
31,0,"""rage?"". gg",0
31,3,so lucky. ggwp,0
31,4,GEGE. REPORT YOUR ASS,0
31,5,!. REPORT DAZZLE. GG. report dazzle. AFK UNTIL MINUTE 45. gg,0
31,6,"""well but I won my duel""",0
31,9,"""easy Pango""",0
32,0,gg,0
32,1,"""one sec, mouse broke"". dead. ready thanks. ""they are good shit but batter is the problem""",0
32,3,"The message """" is a non-verbal symbol or icon and does not have a direct translation to English.. penis",0
32,5,"""aren't those pretty great nowadays""",0
32,6,"true that. What now?. ""his i3 died?""",0
32,8,ggwp,0
32,9,"""who uses a wireless mouse in 2018"". ""when playing an online game"". You don't deserve a pause actually.. [No translation available]",0
33,0,"faster please. ""Do you think I don't give a fuck?"". ""My supports farmed the whole game"". ""I don't give a f*** about them."". autists. ""Let them honestly win 4x4""",0
33,1,"""hp?"". ""first bash"". haha. ""Me too"". ""alright guys"". ""Joked and that's enough"". ""maybe you will push?"". ""Yeah, fuck, they don't want to play"". ""I'm not defending"". ""ruined it solo?"". =)",0
33,2,"""good job"". report. mk",0
33,3,"""easy snake faggot"". ""10 lvl snake faggot dies lol"". lol no you are RUSSIAN MOTHERFUCKER. that's why. ""oh you russian faggot""",1
33,5,"""clay digger"". ""fucking"". ""Clinkz report"". ""ez"". ""like you're carrying"". ""or what"". ""What's the point of this"". ""Like, do you know how to play?"". ""joker"". ""what's up where""",1
33,6,"""dumb cocksucker"". That.. ""lucky"". ""to the fucker"". ""Just got lucky"". ""Fucking hell"". ""lucky"". ""Cocksucker"". ""Nice monkey threw the game"". ?. ""maybe you won't defend?"". ""or do you want to win?"". ""I think he didn't understand himself"". ""What is this for?"". ""fuck"". ""you are a tough SF"". ""You're getting minus 25"". "")"". ""maybe you won't defend?"". Yes. ""No argument"". ""they are idiots"". ""Fuck"". ""haha"". ""yes won us the game""",1
33,7,"lol. ""What is this?"". ""Gay team attacked"". ""here +"". ""I also play like I don't give a fuck"". ""mk like"". ""REPORT PLEASE"". MN",0
33,9,"""ez ursa"". no team. ""report clinkz"". ""stupid retard"". ""report Clinkz""",1
34,0,gg,0
34,2,LOL. YEAHH. GG,0
34,3,gg. gg,0
34,7,"lucky bear!. :P. thanks for the free lane snipe. :P. ""Chrono for one?"". y la muerte. :(. ouch. gg. ""thanks sniper""",0
35,0,"""harder please"". ""fucking 4k dog"". :DDD. Retard. ""losing double mid"". :DD. animal. haha. loser. dog. loser retard. ?. animal. ""hey idiot"". ""where are you retard"". ""call your daddy"". Okay. another dog. ""quiere matarme"". tinker, you are so pathetic. seriously. lowskilled. ""I raped your ass, retard."". :laughing:. RETARD. ""MY EARTHSHAKER STAY BEHIND WITH ECHO"". bitch?. hahahah. ""Why are you crying now?"". loser. ""you are a loser"". dogs squad. XD. Where is my little bitch. ""easy mid 1v3 by the way"". he is a loser. ""Xd"". so?. I'm top 70. tinker is a 3k dog. bitch?. hahaha. so bad. Fucktard",1
35,1,XD,0
35,2,"""don't wait dogs"". ""clinkz do you remember me"". ?. ??. ""we played the same match"". ""I played Medusa"". ""you played Clinkz"". you lost. ""dog shut the fuck up"". pls. dog please. don't speak. ""you got destroyed in lane"". ""where you had"". 3 heroes. helping you. dog. clinkz. never learn. ""dog stay"". ""in cage"". nice dog. gonna buy you a cookie. cookie. top 400. my dick. dogs will learn. some day. ""nice baby"". ""you changed the game""",1
35,3,"fucking play. ""don't play dota if your country cannot give you proper internet"". ""really?"". yup. lol. no problem",0
35,5,"""dusa, es and sf won you the game"". ""dog shit"". ""+""",0
35,6,"nope. ""we won?"". ""Good luck next time, boys"". ""?"". ""I beat so many Medusas easily."". You were just lucky, I think. I cannot remember.. ""which one"". ""if you can, push fast"". ""I can AFK"". don't go Roshan. come on. go mid. ""I'm AFK"". ""go push please"". cmon man. yeah. ""easy mid"". sf won. mid. easy. ""tinker 17 min"". travel. :D. he steals. ""my lane"". ""on middle"". man. ""don't push?"". ""tinker saying"". ""I'm top 400"". tinker. :D:D. alksjdlaskdjsa. :D:D. ""17 min travel"". top 400. ""well played boys"". ""good luck next"". jakiro. sorry for killing. you. :D",0
35,9,"""0k dog"". run lil bitch. ""Sorry, I don't speak 3k."". Easy. don't play Dota. ""if your country can't give you proper internet"". ROFL. i got destroyed dsdgfa. ""little bitch"". keep crying. lol you can't even time your razes with Eul's, 1k dog. ""you're the one crying since the beginning rofl"". lol sure 1k dog. ""lol you aren't shit Shadow Fiend""",1
36,1,What the fuck,0
36,3,"""remake"". ""remake?"". please. ""me and my team"". newbies. Wooo. The message is already in English: ""how did u type that"". ""fuck you"". remake",0
36,5,"leave. ""noob""",0
36,9,Hello,0
37,0,"""lol"". ""d didn't press"". ""don't buy Duracell batteries"". Fucking bullshit. ""2 weeks and the mouse is already acting dumb"". thx. ""hahaha"". ""ryl?"". You think you can win?). ""yeah, Juggernaut farms so slowly"". bitch. lost all skills. ""to kill puck"". useless Bounty Hunter lost game. ""Doesn't?""",0
37,3,"""who"". ""Shadow Demon?"". ""that puck"". ""even tilts me"". ""how can you see this""",0
37,4,"HAHAHAHA. ""HAHAHAHAHA"". HAHAHAH",0
37,5,"""ok end mid"". he broke items. ""y"". ""it's worth x9 reports jugger"". ""he didn't want to win"". Gg Jugger. ""Report all 9 players"". Thank you.",0
37,6,"""good game Juggernaut""",0
37,7,throne. gg,0
37,9,"ggg. can u all. Report jugger. пожалуйста. we were roshing. ""he's farming your camps"". jugger. has the 20 minutes items. ""if you have a brain, report Jugger"". ""travel"". jugger. ""9 report"". ""to juggernaut"". pls. he let you win this game. intentionally. Hello. ""you saw"". ""Rosh go"". ""hp"". ""when you got it""",0
38,1,"""easy gank"". ""mid""",0
38,2,"""Yeah, this is just fucked up"". ""fucking luckers"". ""Did you see how Traxex fucked off from under my ult?"". ""then go fuck yourself""",1
38,6,"lol. ""What's the luck?"". no. ""That's for you to go fuck yourself."". ""why"". ""Slot is taken"". ""Is Pangolier an idiot?"". ""Did your basher proc twice?""",0
39,0,missiles indeed. Thank you. gg,0
39,1,"Hello Kratos. I hope you enjoy the game.. oh kratos. ""not in jungle?"". HAHAHAHA. pure shit. ""what's wrong pussy"". LOL. ""how does it feel Kratos fag"". ""yeah jugg threw in our game too"". ""we had him last game"". ""he told us to suck a dick"". ""but now he's sucking mine"". ""how does it feel, faggot"". enjoy your anal rimming. ""fucking faggot krratos""",1
39,3,"""gg tyu""",0
39,4,gg. commend,0
39,9,"zzz. no team. lol. ""I have no team, end this."". end. MISSILES!. end =). lol",0
40,0,"""Two minutes and he'll be back"". +"". ""Streaming"". ""Twitch"". ""Normal"". ""Waiting"". Easy. ""https://www.twitch.tv/grafdekent""",0
40,2,"+. ""uhhh we were waiting for Slark"". ""no, we are not waiting"". ""we're not waiting"". ""you didn't wait go fuck yourself"". ). ""Didn't have enough mana to kill Slark :c"". ""fuck"". ""yeah, fuck it, it's all the same gg"". ""fucking team of supports"". fuck. ""I even killed Sven solo :з"". ""Support, fuck"". ""Omnik with Radiance too, mm""",0
40,4,"""nice rune"". ""+"". "")"". +. ""in Minecraft"". ??. ""Bitch"". ""easy bitch"". ""we'll see, bitch"". ""hazza"". ""suckality"". ""Fucking idiot"". ""Fuuuck"". ""Kind of easy""",1
40,5,"""send the channel "". ""or on Twitch?"". ""shut the fuck up"". ""You're fucked in the late game, moron)"". ""fucking clay-mixer""",1
40,6,"""Where did the fat one go?"". ""party?"". ""Fucking delay on Twitch"". ""bullshit"". ""Eat shit, dickhead"". ""I had ping"". 700",1
40,7,"""Tell that wanker that he'll finish later."". Shit",0
40,9,"""seriously?"". ""in turn"". ""we're going out"". ""I don't know, not in the team"". ""My special forces will find you))"". ""Nice, they fed Enigma."". ""Pudge"". ""top Sven"". ""at the end report the guy who thought he would decide the game"". ""kek)"". ""Fuck, I'm also buying wards"". ""sorry, I'm trash here"". ""Slark seems fine"". ""gg Sven and CM for report"". ""yeah, it's just fucked up in the throne"". ""with such teammates""",0
41,1,"""report invoker"". ""Feeding with the courier"". ""+ threw mid"". Easy mid. ""Sniper, how do you like our mid player?"". ""he plays together with Tiny"". ""two dumbasses""",1
41,2,"""You're all corpses, guys""",0
41,3,"""there's a monkey""",0
41,6,lol,0
41,7,"""faggot""",0
41,9,"""Not bad"". ""he saved himself once, if only there was another save tp"". ""then it would be fine""",0
42,0,"xd. ""relax"". gg",0
42,1,gg slark,0
42,4,"xdxD. ""GO FUCK YOURSELF"". Thank you. pudge. ""report mid please"". ""noob Pudge"". BKB. thank you. ""YOU COPY"". ""game nice"". stupid mid. gg. Team bad. ""mid 3k"". xD. :D. EZ",0
42,5,"""KID YOU'RE RUINING"". ""WITH ALL HERO"". ""SERIOUSLY, YOU THINK"". ""WHAT'S UP WITH THAT"". ""IN MY ULT"". YES. ""HE'S VERY BAD LOL"". ""I'll report everyone"". ""IN THE LAST GAME"". ""GUY CONTINUES"". ""If you had let me go mid last time, it would have been two wins, you animal."". ""how easy it is to win against an sf mid"". ""And you grab a big cup""",0
42,6,lol,0
42,8,easy,0
42,9,:v. Xd. hahaha,0
43,0,"""go end"". ""retarded Southeast Asia"". Ahhaahahhaahaha. ""ahahahahahahahahah"". This game is so fucking hard.. ""for me"". Aahahahahahahahhaa. mirana wants. carry",1
43,1,"""i also kill"". easy to kill. ""see?"". haha. hahaha. it's okay. lol. tiny mid. ""0-2 max 3rd"". ""he's mid but maxes his third"". I wrecked you.. solo kill. lol. easy kill. ""So what now?"". ""You're such a drunkard, huh?"". ""What?"". ""lol Jug"". ""Go up"". ""crazy"" or ""fool"". ""You're such a fool."". Run. ""why run away?"". ""WHY ARE YOU STILL RUNNING?"". WOW. ""end now"". ""We already lost"". yeah im done",0
43,2,"""your carry?"". rofl. hehe. rofl. rofl. juke. Hehe. mirana. ""your carry solo kill"". ?. ""tell me?"". ""tell me?"". rofl. end it now?. rofl. rofl. rofl. rofl. rofl. rofl. ""hee?"". ""hehe?"". ""can talk now?"". ""hehe?"". wow. comeback. hehe. rofl. hahaha. easy. ""noobs""",0
43,4,"""End again?"". ?. lol. just support. ""do I care?"". idiot. ""you talk about yourself?"". ?. ""you mean your mom over?"". hhaha. haha. ""your carry"". fucking idiot. ""like you"". haha. yes. trash. so good. ""Mirana so good"". lol. ""mirana"". u so good. ""so trash"". Haha. ""why stop"". ""talk a bit"". ""why end"". ""you offlane god"". ""hi offlane god"". ""OFFLANE GOD <3"". mirana. ""Are you done?"". hahaha. wow arrow god. ""hopeless Opus Dota best arrow Dota"". offlane god. <3",1
43,5,"END. I'm done.. Good game, well played.. ""straight"". NOOB. NOOB. HAHAHA. ""nice feed"". HEY. HEY. ""I just solo killed your carry"". this game is over. eat that. ""eat that arrow bitch"". who cares. ""I'm a solo player"". ""I'm not usually relying on my carry"". ""I don't usually"". rely. HAHAHAHA. hahahaha. ""noob doom"". WAHAHAHAHA. NOOB DOOM OMG. ITS NOT. DONT LIE. bro. IM SO GOOD. I'm done.. ""let them end"". ""I'm so done"". let the world end now. IT MATTERS NOT TO ME. arrow lord. gg. SO GOOD. OFFLANE GOD. I wrecked your carry 2v1.. HOW ABOUT THAT. BASIC HERO PICKER. SHAME ON YOU. THAT'S IT. gg. hah. hahahaha. hahahahahahahaha. HAHAHA. nice assist. hahaha. GG. Good Game, Well Played. stop talking. I'm done talking.. you can end it now. OMG. I'm done.. noob team. GG",1
43,6,"lol. ""?"". ?. ?. ?. ?. ?. ?. ""?"". ""?"". ?. ?. ?. HAHAH. HAHAHA. crying",0
43,9,"wow doom. Haha. ?. ?. ?. ?. ?. ?. ""?"". ?. ?. ?. haha. ""crybaby""",0
44,0,"""I am sucking dick"". ""can't catch this slippery poison snake"". gg wp",0
44,1,well played,0
44,2,"lollolololol. ""how are u guys so good""",0
44,3,"Nice profile pictures. Candybox, have you met Klingarin? I think you'd get along well.. easy",0
44,4,OwO. No,0
44,5,ggwp,0
44,7,0.o xD. gg,0
44,8,"lol. ""wr is Russian boy"". kek. wr is RUSSIAN. Hello",0
44,9,"""you are sucking Putin's dick""",0
45,0,"""go feed""",0
45,3,"Xd. ""SHIT""",0
45,4,"""haha"". hahaha",0
45,5,"The message is already in English.. rofl. ""6-26 combined between three of you""",0
46,6,"""shit"". ""wait""",0
46,7,"he is coming. please pause for Invoker. ""1 minute"". restarting router",0
46,9,"gg. gg. ""go leave please"". |sec. ""toilet"". ""toilet"". please. :D",0
47,0,Shrine,0
47,1,"end. ""please"". the kraken has been unleashed. gg",0
47,2,"""I'm done"". how. sunstirck. fAMIFhaSUasn. how. ""in d"". ""the game"". oh no. nhaiouhasjof. ""easy skill"". ez feed. ""bitch"". space",0
47,3,"GOOD TACTICS. ""WALK INSIDE CM ULT"". Good job. EZ MID OH NO. EZ. NECRO. FAILED MID. BYE. LMAO. GG",0
47,4,xD,0
47,5,"""..."". ""fuck you"". gg",1
47,6,GG. F[][F[F,0
47,8,"""thanks everyone""",0
48,1,"""hf"" translates to ""have fun"" in English.. ""idiot"". easy. ""you have 2 slots"". ""BUY DUST"". HAHAHA",0
48,2,"""FUCK YOU IDIOT""",1
48,4,pkoljhmyusdPH L;a[]. thought u are sandking. What the fuck,0
48,6,fuck you all,0
48,7,gg,0
48,8,gg,0
48,9,report slark. gg,0
49,0,?. gg,0
49,2,"Deserved.. ""FED AND QUIT""",0
49,5,"runnnnnnnnnnnnnn. bitch. ""runnnnnnnn""",0
49,6,"""SK HC"". Please report.",0
49,8,"""Don't be racist with an Archon, dogs."". ""damn I feel small"". oleee. ??. magnus",0
50,0,"""sorry, I didn't manage to click on you""",0
50,3,"""on cm bm haha"". comeback",0
50,5,"""weak"". ""easy"". ""easy late game""",0
50,8,"""Fuck, Morta, you're a two-button player, why the fuck are you on me all the time?""",0
50,9,GG,0
51,0,"""May the earth be soft for you"". gg. ""well played tinker""",0
51,1,"""aa"". ""FF"". afk. ""3 scumbags sorry"". default",0
51,2,hahahaha,0
51,3,"удача. ""forfeit"". ""[fds[f[dsf["". ""khavykhakhyvakh"". ""made a TP on four"". one. ""ahvkhayvkhakhyvakhv"". ""3 scum default"". ""hahaha"". ""minus nerves""",0
51,4,"""Fuck, they make so many sets (shit), now it's unclear which is for which hero."". ""If it wasn't written, I wouldn't have understood that this is Juggernaut."". What the fuck. ""hobo"". SO SO. Good Game, Well Played",0
51,5,lol. chase chase chase. soso. gg boys. :d,0
51,6,"The message appears to be gibberish or a random string of characters and does not translate to any meaningful content in English.. lksgawr opkmdslögj ragjöldsmföldsm,völsm, xclömv sdlövm,",0
51,7,gg,0
52,0,"""just pick Chaos"". ""and win the game in 20 minutes"". ""he picked"". ""spectre"". ""he's using Discord"". "")"". ""Okay, sorry"". ""Happy New Year to everyone"". ""yeah right"". ""in 5"". ""and so"". ""all"". ""fuck spectre"". ""1 word"". ""goddamn deity"". easy",0
52,3,"""bro"". ""Sumia plays better""",0
52,5,GG. end these retards,1
52,6,"Серьезно. I know. ""2 mana was not enough)"". of course. ""Why not 5?"". ""and here"". 5. ""then everything is fine""",0
52,7,"""just pick Chaos Knight against Ember"". ""yeah"". ""Thanks for the advice""",0
52,9,";bd. ""alive"". ""alive"". ""Eagle""",0
