message,label,player,special_token_message,match,translated_message,sanitized_translated_message
или на твиче?,,5,[Team1][Player0]: или на твиче?,40,"""or on Twitch?""",or on Twitch?
Сука на твиче задержк,,6,[Team1][Player1]: Сука на твиче задержк,40,"""Fucking delay on Twitch""",F***ing delay on Twitch
Твич,,0,[Team0][Player0]: Твич,40,"""Twitch""",Twitch
в майне,,4,[Team0][Player4]: в майне,40,"""in Minecraft""",in Minecraft
эээ сларка ждали,,2,[Team0][Player2]: эээ сларка ждали,40,"""uhhh we were waiting for Slark""",uhhh we were waiting for Slark
хуйня,,6,[Team1][Player1]: хуйня,40,"""bullshit""",b******
??,,4,[Team0][Player4]: ??,40,??,??
нет не ждём,,2,[Team0][Player2]: нет не ждём,40,"""no, we are not waiting""","no, we are not waiting"
по очереди,,9,[Team1][Player4]: по очереди,40,"""in turn""",in turn
выодим,,9,[Team1][Player4]: выодим,40,"""we're going out""",we're going out
не ждём,,2,[Team0][Player2]: не ждём,40,"""we're not waiting""",we're not waiting
вы не ждали иди нахуй,,2,[Team0][Player2]: вы не ждали иди нахуй,40,"""you didn't wait go fuck yourself""",you didn't wait go **** yourself
я хз не в тиме,,9,[Team1][Player4]: я хз не в тиме,40,"""I don't know, not in the team""","I don't know, not in the team"
закройте ебало еп,x,5,[Team1][Player0]: закройте ебало еп,40,"""shut the fuck up""",shut the **** up
Норм,,0,[Team0][Player0]: Норм,40,"""Normal""",Normal
Ждём,,0,[Team0][Player0]: Ждём,40,"""Waiting""",Waiting
Сукааа,,4,[Team0][Player4]: Сукааа,40,"""Bitch""",B****
изи сука,,4,[Team0][Player4]: изи сука,40,"""easy bitch""",easy *****
тебе пизда в лейте даун),,5,[Team1][Player0]: тебе пизда в лейте даун),40,"""You're fucked in the late game, moron)""","You're ****ed in the late game, moron)"
посмотрим шмара,x,4,[Team0][Player4]: посмотрим шмара,40,"""we'll see, bitch""","we'll see, b****"
глиномес ебанный,,5,[Team1][Player0]: глиномес ебанный,40,"""fucking clay-mixer""",f***ing clay-mixer
мои спецназовцы найдут тебя)),,9,[Team1][Player4]: мои спецназовцы найдут тебя)),40,"""My special forces will find you))""",My special forces will find you))
),,2,[Team0][Player2]: ),40,),""")"""
хазза,,4,[Team0][Player4]: хазза,40,"""hazza""",hazza
маны не хватило сларка убить :с,,2,[Team0][Player2]: маны не хватило сларка убить :с,40,"""Didn't have enough mana to kill Slark :c""",Didn't have enough mana to kill Slark :c
блять,,2,[Team0][Player2]: блять,40,"""fuck""",****
да похуй один хуй гг,,2,[Team0][Player2]: да похуй один хуй гг,40,"""yeah, fuck it, it's all the same gg""","yeah, f*** it, it's all the same gg"
сука команда саппортов,,2,[Team0][Player2]: сука команда саппортов,40,"""fucking team of supports""",f***ing team of supports
блять,,2,[Team0][Player2]: блять,40,fuck,****
сасалити,,4,[Team0][Player4]: сасалити,40,"""suckality""",s****lity
СУка ядаун,,4,[Team0][Player4]: СУка ядаун,40,"""Fucking idiot""",F***ing idiot
найс енафидили,,9,[Team1][Player4]: найс енафидили,40,"""Nice, they fed Enigma.""","Nice, they fed Enigma."
паджика,,9,[Team1][Player4]: паджика,40,"""Pudge""",Pudge
топ свен,,9,[Team1][Player4]: топ свен,40,"""top Sven""",top Sven
в конце репорт челик думал зарешает,,9,[Team1][Player4]: в конце репорт челик думал зарешает,40,"""at the end report the guy who thought he would decide the game""",at the end report the guy who thought he would decide the game
я даже свена в соло убил :з,,2,[Team0][Player2]: я даже свена в соло убил :з,40,"""I even killed Sven solo :з""",I even killed Sven solo :з
СУкааааа,,4,[Team0][Player4]: СУкааааа,40,"""Fuuuck""",F***k
кек),,9,[Team1][Player4]: кек),40,"""kek)""",kek)
саппорт блять,,2,[Team0][Player2]: саппорт блять,40,"""Support, fuck""","Support, ****"
Жри говно хуила,x,6,[Team1][Player1]: Жри говно хуила,40,"""Eat shit, dickhead""","""Eat ****, *******"""
у меня пинг был,,6,[Team1][Player1]: у меня пинг был,40,"""I had ping""",I had ping
700,,6,[Team1][Player1]: 700,40,700,700
омник еще с радиком мм,,2,[Team0][Player2]: омник еще с радиком мм,40,"""Omnik with Radiance too, mm""","Omnik with Radiance too, mm"
ебать еще и вварды покупаю,,9,[Team1][Player4]: ебать еще и вварды покупаю,40,"""Fuck, I'm also buying wards""","F***, I'm also buying wards"
прост омусорка тут,,9,[Team1][Player4]: прост омусорка тут,40,"""sorry, I'm trash here""","sorry, I'm trash here"
срарк вродь норм,,9,[Team1][Player4]: срарк вродь норм,40,"""Slark seems fine""",Slark seems fine
гг свену и цм по репорту,,9,[Team1][Player4]: гг свену и цм по репорту,40,"""gg Sven and CM for report""",gg Sven and CM for report
да в трон ту тпиздец просто,,9,[Team1][Player4]: да в трон ту тпиздец просто,40,"""yeah, it's just fucked up in the throne""","""yeah, it's just f****d up in the throne"""
Чёта изи,,4,[Team0][Player4]: Чёта изи,40,"""Kind of easy""",Kind of easy
Ez,,0,[Team0][Player0]: Ez,40,Easy,Easy
https://www.twitch.tv/grafdekent,,0,[Team0][Player0]: https://www.twitch.tv/grafdekent,40,"""https://www.twitch.tv/grafdekent""",https://www.twitch.tv/grafdekent
с такими тиммейтами,,9,[Team1][Player4]: с такими тиммейтами,40,"""with such teammates""",with such teammates
wait a sec please,,8,[Team1][Player3]: wait a sec please,20,"""wait a sec please""",wait a sec please
What are you doing in my smoke,,4,[Team0][Player4]: What are you doing in my smoke,20,What are you doing in my smoke,What are you doing in my smoke
what are you doing in my smoke,,4,[Team0][Player4]: what are you doing in my smoke,20,What are you doing in my smoke?,What are you doing in my smoke?
GG,,4,[Team0][Player4]: GG,20,GG,GG
well done,,5,[Team1][Player0]: well done,20,well done,well done
ggwp,,8,[Team1][Player3]: ggwp,20,ggwp,ggwp
GG,,0,[Team0][Player0]: GG,20,GG,GG
t,,8,[Team1][Player3]: t,20,t,t
gg,,6,[Team1][Player1]: gg,20,gg,gg
that rioki pick,,8,[Team1][Player3]: that rioki pick,20,"""that rioki pick""",that rioki pick
gg,,2,[Team0][Player2]: gg,88,gg,gg
sana,,3,[Team0][Player3]: sana,88,"""curse""",curse
GG,,4,[Team0][Player4]: GG,88,GG,GG
nooooo,,8,[Team1][Player3]: nooooo,88,nooooo,nooooo
GG,,0,[Team0][Player0]: GG,88,GG,GG
END FAST,,4,[Team0][Player4]: END FAST,88,END FAST,END FAST
GG,,0,[Team0][Player0]: GG,88,GG,GG
Almost,,8,[Team1][Player3]: Almost,88,Almost,Almost
PRO TEAM,,4,[Team0][Player4]: PRO TEAM,88,PRO TEAM,PRO TEAM
i pro,,8,[Team1][Player3]: i pro,88,I pro,I pro
SAD,,0,[Team0][Player0]: SAD,88,SAD,SAD
GG,,0,[Team0][Player0]: GG,88,GG,GG
EZ,,0,[Team0][Player0]: EZ,88,Easy,Easy
ez,,2,[Team0][Player2]: ez,88,"""easy""",easy
EZ,,0,[Team0][Player0]: EZ,88,"""Easy""",Easy
ez,,2,[Team0][Player2]: ez,88,"""easy""",easy
EZ,,0,[Team0][Player0]: EZ,88,EZ,EZ
ez,,2,[Team0][Player2]: ez,88,ez,ez
ez,,2,[Team0][Player2]: ez,88,easy,easy
ez,,2,[Team0][Player2]: ez,88,ez,ez
ez,,2,[Team0][Player2]: ez,88,ez,ez
|USELEES,,4,[Team0][Player4]: |USELEES,88,|USELESS,|USELESS
HAHA,,0,[Team0][Player0]: HAHA,88,HAHA,HAHA
emd,,2,[Team0][Player2]: emd,88,"""easy""",easy
GG,,4,[Team0][Player4]: GG,88,GG,GG
end,,2,[Team0][Player2]: end,88,end,end
wag,,2,[Team0][Player2]: wag,88,"""end""",end
GG,,4,[Team0][Player4]: GG,88,GG,GG
wawg,,2,[Team0][Player2]: wawg,88,"""why GG""",why GG
gg commend,,8,[Team1][Player3]: gg commend,88,gg commend,gg commend
лол,,0,[Team0][Player0]: лол,37,"""lol""",lol
д не нажалась,,0,[Team0][Player0]: д не нажалась,37,"""d didn't press""",d didn't press
не покупайте батарейки дюрасел,,0,[Team0][Player0]: не покупайте батарейки дюрасел,37,"""don't buy Duracell batteries""",don't buy Duracell batteries
ебанная хуита,,0,[Team0][Player0]: ебанная хуита,37,Fucking bullshit,F***ing bull****
2 недели и мышка уже тупит,,0,[Team0][Player0]: 2 недели и мышка уже тупит,37,"""2 weeks and the mouse is already acting dumb""",2 weeks and the mouse is already acting dumb
ggg,,9,[Team1][Player4]: ggg,37,ggg,ggg
спс,,0,[Team0][Player0]: спс,37,thx,thx
can u all,,9,[Team1][Player4]: can u all,37,can u all,can u all
Report jugger,,9,[Team1][Player4]: Report jugger,37,Report jugger,Report jugger
pls,,9,[Team1][Player4]: pls,37,пожалуйста,пожалуйста
we was roshin,,9,[Team1][Player4]: we was roshin,37,we were roshing,we were roshing
he farm your camps,,9,[Team1][Player4]: he farm your camps,37,"""he's farming your camps""",he's farming your camps
throne,,7,[Team1][Player2]: throne,37,throne,throne
АЗАХАХАА,,4,[Team0][Player4]: АЗАХАХАА,37,HAHAHAHA,HAHAHAHA
АХАХХААХА,,4,[Team0][Player4]: АХАХХААХА,37,"""HAHAHAHAHA""",HAHAHAHAHA
хахахах,,0,[Team0][Player0]: хахахах,37,"""hahaha""",hahaha
ХАХАХААХ,,4,[Team0][Player4]: ХАХАХААХ,37,HAHAHAH,HAHAHAH
jugger,,9,[Team1][Player4]: jugger,37,jugger,jugger
has the 20 minutes items,,9,[Team1][Player4]: has the 20 minutes items,37,has the 20 minutes items,has the 20 minutes items
ok end mid,,5,[Team1][Player0]: ok end mid,37,"""ok end mid""",ok end mid
he broke items,,5,[Team1][Player0]: he broke items,37,he broke items,he broke items
ryl?,,0,[Team0][Player0]: ryl?,37,"""ryl?""",ryl?
who,,3,[Team0][Player3]: who,37,"""who""",who
y,,5,[Team1][Player0]: y,37,"""y""",y
You think you can win?),,0,[Team0][Player0]: You think you can win?),37,You think you can win?),You think you can win?)
sd?,,3,[Team0][Player3]: sd?,37,"""Shadow Demon?""",Shadow Demon?
its worth x9 reports jugger,,5,[Team1][Player0]: its worth x9 reports jugger,37,"""it's worth x9 reports jugger""",it's worth x9 reports jugger
he didnt want to win,,5,[Team1][Player0]: he didnt want to win,37,"""he didn't want to win""",he didn't want to win
if u have a brain u report jugger,,9,[Team1][Player4]: if u have a brain u report jugger,37,"""if you have a brain, report Jugger""","if you have a brain, report Jugger"
ye jugger farm so slowly,,0,[Team0][Player0]: ye jugger farm so slowly,37,"""yeah, Juggernaut farms so slowly""","yeah, Juggernaut farms so slowly"
travel,,9,[Team1][Player4]: travel,37,"""travel""",travel
jugger,,9,[Team1][Player4]: jugger,37,jugger,jugger
that puck,,3,[Team0][Player3]: that puck,37,"""that puck""",that puck
even tilt me,,3,[Team0][Player3]: even tilt me,37,"""even tilts me""",even tilts me
how u can see this,,3,[Team0][Player3]: how u can see this,37,"""how can you see this""",how can you see this
bitch,,0,[Team0][Player0]: bitch,37,bitch,b****
lost all skils,,0,[Team0][Player0]: lost all skils,37,lost all skills,lost all skills
to kill puck,,0,[Team0][Player0]: to kill puck,37,"""to kill puck""",to kill puck
9 report,,9,[Team1][Player4]: 9 report,37,"""9 report""",9 report
to jugge,,9,[Team1][Player4]: to jugge,37,"""to juggernaut""","""to juggernaut"""
pls,,9,[Team1][Player4]: pls,37,pls,pls
he let u win this game,,9,[Team1][Player4]: he let u win this game,37,he let you win this game,he let you win this game
gege,,7,[Team1][Player2]: gege,37,gg,gg
useless bh lost gme,,0,[Team0][Player0]: useless bh lost gme,37,useless Bounty Hunter lost game,useless Bounty Hunter lost game
intentionally,,9,[Team1][Player4]: intentionally,37,intentionally,intentionally
doesnt?,,0,[Team0][Player0]: doesnt?,37,"""Doesn't?""",Doesn't?
hello,,9,[Team1][Player4]: hello,37,Hello,Hello
u saw,,9,[Team1][Player4]: u saw,37,"""you saw""",you saw
rosh gp,,9,[Team1][Player4]: rosh gp,37,"""Rosh go""",Rosh go
hp,,9,[Team1][Player4]: hp,37,"""hp""",hp
Gg jugger,,5,[Team1][Player0]: Gg jugger,37,Gg Jugger,Gg Jugger
X9,,5,[Team1][Player0]: X9,37,"""Report all 9 players""",Report all 9 players
when u got it,,9,[Team1][Player4]: when u got it,37,"""when you got it""",when you got it
ty,,5,[Team1][Player0]: ty,37,Thank you.,Thank you.
gg jugger,,6,[Team1][Player1]: gg jugger,37,"""good game Juggernaut""",good game Juggernaut
END,,5,[Team1][Player0]: END,43,END,END
IM DONE,,5,[Team1][Player0]: IM DONE,43,I'm done.,I'm done.
GGWP,,5,[Team1][Player0]: GGWP,43,"Good game, well played.","Good game, well played."
End again?,,4,[Team0][Player4]: End again?,43,"""End again?""",End again?
go end,,0,[Team0][Player0]: go end,43,"""go end""",go end
straight,,5,[Team1][Player0]: straight,43,"""straight""",straight
NOOB,,5,[Team1][Player0]: NOOB,43,NOOB,NOOB
?,,4,[Team0][Player4]: ?,43,?,?
NOOB,,5,[Team1][Player0]: NOOB,43,NOOB,NOOB
HAHAHA,,5,[Team1][Player0]: HAHAHA,43,HAHAHA,HAHAHA
lol,,4,[Team0][Player4]: lol,43,lol,lol
just spp,,4,[Team0][Player4]: just spp,43,just support,just support
i care?,,4,[Team0][Player4]: i care?,43,"""do I care?""",do I care?
idiot,,4,[Team0][Player4]: idiot,43,idiot,******
nice fed,,5,[Team1][Player0]: nice fed,43,"""nice feed""",nice feed
u talk about urself?,,4,[Team0][Player4]: u talk about urself?,43,"""you talk about yourself?""",you talk about yourself?
HEY,,5,[Team1][Player0]: HEY,43,HEY,HEY
HEY,,5,[Team1][Player0]: HEY,43,HEY,HEY
i just solo killed your carry,,5,[Team1][Player0]: i just solo killed your carry,43,"""I just solo killed your carry""",I just solo killed your carry
this game is over,,5,[Team1][Player0]: this game is over,43,this game is over,this game is over
?,,4,[Team0][Player4]: ?,43,?,?
i also kill,,1,[Team0][Player1]: i also kill,43,"""i also kill""",i also kill
u mean ur mun over?,,4,[Team0][Player4]: u mean ur mun over?,43,"""you mean your mom over?""","""you mean your mom over?"""
hhaha,,4,[Team0][Player4]: hhaha,43,hhaha,hhaha
ez to kill,,1,[Team0][Player1]: ez to kill,43,easy to kill,easy to kill
eat that,,5,[Team1][Player0]: eat that,43,eat that,eat that
eat that arrow biatch,x,5,[Team1][Player0]: eat that arrow biatch,43,"""eat that arrow bitch""","""eat that arrow b****"""
see?,,1,[Team0][Player1]: see?,43,"""see?""",see?
ur carry?,,2,[Team0][Player2]: ur carry?,43,"""your carry?""",your carry?
haha,,4,[Team0][Player4]: haha,43,haha,haha
who cares,,5,[Team1][Player0]: who cares,43,who cares,who cares
ur carry,,4,[Team0][Player4]: ur carry,43,"""your carry""",your carry
im solo player,,5,[Team1][Player0]: im solo player,43,"""I'm a solo player""",I'm a solo player
lol,,6,[Team1][Player1]: lol,43,lol,lol
fucking idiot,x,4,[Team0][Player4]: fucking idiot,43,fucking idiot,f***ing idiot
wow doom,,9,[Team1][Player4]: wow doom,43,wow doom,wow doom
im not usually rely on my carry,,5,[Team1][Player0]: im not usually rely on my carry,43,"""I'm not usually relying on my carry""",I'm not usually relying on my carry
like u,,4,[Team0][Player4]: like u,43,"""like you""",like you
i dont usually,,5,[Team1][Player0]: i dont usually,43,"""I don't usually""",I don't usually
rely,,5,[Team1][Player0]: rely,43,rely,rely
haha,,9,[Team1][Player4]: haha,43,Haha,Haha
?,,6,[Team1][Player1]: ?,43,"""?""",?
?,,6,[Team1][Player1]: ?,43,?,?
HAHAHAHA,,5,[Team1][Player0]: HAHAHAHA,43,HAHAHAHA,HAHAHAHA
?,,6,[Team1][Player1]: ?,43,?,?
?,,9,[Team1][Player4]: ?,43,?,?
haha,,1,[Team0][Player1]: haha,43,haha,haha
?,,9,[Team1][Player4]: ?,43,?,?
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
?,,6,[Team1][Player1]: ?,43,?,?
?,,9,[Team1][Player4]: ?,43,?,?
?,,6,[Team1][Player1]: ?,43,?,?
hahahaha,,5,[Team1][Player0]: hahahaha,43,hahahaha,hahahaha
?,,9,[Team1][Player4]: ?,43,?,?
?,,6,[Team1][Player1]: ?,43,?,?
?,,9,[Team1][Player4]: ?,43,?,?
retarded sea asia,x,0,[Team0][Player0]: retarded sea asia,43,"""retarded Southeast Asia""","""******* Southeast Asia"""
?,,6,[Team1][Player1]: ?,43,?,?
noob doom,,5,[Team1][Player0]: noob doom,43,"""noob doom""",noob doom
?,,9,[Team1][Player4]: ?,43,?,?
?,,6,[Team1][Player1]: ?,43,"""?""",?
?,,9,[Team1][Player4]: ?,43,"""?""",?
?,,6,[Team1][Player1]: ?,43,"""?""",?
WAHAHAHAHA,,5,[Team1][Player0]: WAHAHAHAHA,43,WAHAHAHAHA,WAHAHAHAHA
?,,9,[Team1][Player4]: ?,43,?,?
?,,6,[Team1][Player1]: ?,43,?,?
?,,9,[Team1][Player4]: ?,43,?,?
?,,9,[Team1][Player4]: ?,43,?,?
?,,6,[Team1][Player1]: ?,43,?,?
hahaha,,1,[Team0][Player1]: hahaha,43,hahaha,hahaha
?,,6,[Team1][Player1]: ?,43,?,?
NOOB DOOM OMG,,5,[Team1][Player0]: NOOB DOOM OMG,43,NOOB DOOM OMG,NOOB DOOM OMG
haha,,4,[Team0][Player4]: haha,43,haha,haha
sea,,4,[Team0][Player4]: sea,43,yes,yes
trash,,4,[Team0][Player4]: trash,43,trash,tr***
its okay,,1,[Team0][Player1]: its okay,43,it's okay,it's okay
ITS NOT,,5,[Team1][Player0]: ITS NOT,43,ITS NOT,ITS NOT
DONT LIE,,5,[Team1][Player0]: DONT LIE,43,DONT LIE,DONT LIE
bro,,5,[Team1][Player0]: bro,43,bro,bro
IM SO GOOD,,5,[Team1][Player0]: IM SO GOOD,43,IM SO GOOD,IM SO GOOD
im done,,5,[Team1][Player0]: im done,43,I'm done.,I'm done.
so good,,4,[Team0][Player4]: so good,43,so good,so good
let them endf,,5,[Team1][Player0]: let them endf,43,"""let them end""",let them end
Ahhaahahhaahaha,,0,[Team0][Player0]: Ahhaahahhaahaha,43,Ahhaahahhaahaha,Ahhaahahhaahaha
lels,,1,[Team0][Player1]: lels,43,lol,lol
im so done,,5,[Team1][Player0]: im so done,43,"""I'm so done""",I'm so done
ahahahahahahahahah,,0,[Team0][Player0]: ahahahahahahahahah,43,"""ahahahahahahahahah""",ahahahahahahahahah
mirana so good,,4,[Team0][Player4]: mirana so good,43,"""Mirana so good""",Mirana so good
let the world end now,,5,[Team1][Player0]: let the world end now,43,let the world end now,let the world end now
IT MATTERS NOT TO ME,,5,[Team1][Player0]: IT MATTERS NOT TO ME,43,IT MATTERS NOT TO ME,IT MATTERS NOT TO ME
hehe,,2,[Team0][Player2]: hehe,43,hehe,hehe
arrow lord,,5,[Team1][Player0]: arrow lord,43,arrow lord,arrow lord
gg,,5,[Team1][Player0]: gg,43,gg,gg
SO GOOD,,5,[Team1][Player0]: SO GOOD,43,SO GOOD,SO GOOD
OFFLANE GOD,,5,[Team1][Player0]: OFFLANE GOD,43,OFFLANE GOD,OFFLANE GOD
tiny mid,,1,[Team0][Player1]: tiny mid,43,tiny mid,tiny mid
0-2 max 3rd,,1,[Team0][Player1]: 0-2 max 3rd,43,"""0-2 max 3rd""",0-2 max 3rd
his mid but max his 3rd,,1,[Team0][Player1]: his mid but max his 3rd,43,"""he's mid but maxes his third""",he's mid but maxes his third
I REKT YOUR CARRY 2V1,,5,[Team1][Player0]: I REKT YOUR CARRY 2V1,43,I wrecked your carry 2v1.,I wrecked your carry 2v1.
HOW BOUT THAT,,5,[Team1][Player0]: HOW BOUT THAT,43,HOW ABOUT THAT,HOW ABOUT THAT
i rekt you,,1,[Team0][Player1]: i rekt you,43,I wrecked you.,I wrecked you.
solo kill,,1,[Team0][Player1]: solo kill,43,solo kill,solo kill
BASIC HERO PICKER,,5,[Team1][Player0]: BASIC HERO PICKER,43,BASIC HERO PICKER,BASIC HERO PICKER
SHAME ON YOU,,5,[Team1][Player0]: SHAME ON YOU,43,SHAME ON YOU,SHAME ON YOU
lels,,1,[Team0][Player1]: lels,43,lol,lol
TAHTS IT,,5,[Team1][Player0]: TAHTS IT,43,THAT'S IT,THAT'S IT
gg,,5,[Team1][Player0]: gg,43,gg,gg
hah,,5,[Team1][Player0]: hah,43,hah,hah
hahahaha,,5,[Team1][Player0]: hahahaha,43,hahahaha,hahahaha
haha,,9,[Team1][Player4]: haha,43,haha,haha
HAHAH,,6,[Team1][Player1]: HAHAH,43,HAHAH,HAHAH
hahahahahahahaha,,5,[Team1][Player0]: hahahahahahahaha,43,hahahahahahahaha,hahahahahahahaha
HAHAHA,,6,[Team1][Player1]: HAHAHA,43,HAHAHA,HAHAHA
iyak,,6,[Team1][Player1]: iyak,43,crying,crying
HAHAHA,,5,[Team1][Player0]: HAHAHA,43,HAHAHA,HAHAHA
nice assist,,5,[Team1][Player0]: nice assist,43,nice assist,nice assist
hahaha,,5,[Team1][Player0]: hahaha,43,hahaha,hahaha
katis,,9,[Team1][Player4]: katis,43,"""crybaby""",crybaby
dis game so fucking hard,,0,[Team0][Player0]: dis game so fucking hard,43,This game is so fucking hard.,This game is so ****ing hard.
for me,,0,[Team0][Player0]: for me,43,"""for me""",for me
GG,,5,[Team1][Player0]: GG,43,GG,GG
ez kill,,1,[Team0][Player1]: ez kill,43,easy kill,easy kill
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
juke,,2,[Team0][Player2]: juke,43,juke,juke
e ano ngayon?,,1,[Team0][Player1]: e ano ngayon?,43,"""So what now?""",So what now?
wal wal ka pala eh,,1,[Team0][Player1]: wal wal ka pala eh,43,"""You're such a drunkard, huh?""","You're such a dr****rd, huh?"
GGWP,,5,[Team1][Player0]: GGWP,43,"Good Game, Well Played","Good Game, Well Played"
ano?,,1,[Team0][Player1]: ano?,43,"""What?""",What?
lol,,4,[Team0][Player4]: lol,43,lol,lol
mirana,,4,[Team0][Player4]: mirana,43,"""mirana""",mirana
u so good,,4,[Team0][Player4]: u so good,43,u so good,u so good
at trash,,4,[Team0][Player4]: at trash,43,"""so trash""","""so trash"""
Aahahahahahahahhaa,,0,[Team0][Player0]: Aahahahahahahahhaa,43,Aahahahahahahahhaa,Aahahahahahahahhaa
hehe,,2,[Team0][Player2]: hehe,43,Hehe,Hehe
mirana,,2,[Team0][Player2]: mirana,43,mirana,mirana
mirana wants,,0,[Team0][Player0]: mirana wants,43,mirana wants,mirana wants
ur carry solo killl,,2,[Team0][Player2]: ur carry solo killl,43,"""your carry solo kill""",your carry solo kill
stop talking,,5,[Team1][Player0]: stop talking,43,stop talking,stop talking
?,,2,[Team0][Player2]: ?,43,?,?
carry,,0,[Team0][Player0]: carry,43,carry,carry
tell me?,,2,[Team0][Player2]: tell me?,43,"""tell me?""",tell me?
lel jug,,1,[Team0][Player1]: lel jug,43,"""lol Jug""",lol Jug
haha,,4,[Team0][Player4]: haha,43,Haha,Haha
tell me?,,2,[Team0][Player2]: tell me?,43,"""tell me?""",tell me?
im done talking,,5,[Team1][Player0]: im done talking,43,I'm done talking.,I'm done talking.
why stop,,4,[Team0][Player4]: why stop,43,"""why stop""",why stop
talk abit,,4,[Team0][Player4]: talk abit,43,"""talk a bit""",talk a bit
you can end it now,,5,[Team1][Player0]: you can end it now,43,you can end it now,you can end it now
why end,,4,[Team0][Player4]: why end,43,"""why end""",why end
salita pa,,1,[Team0][Player1]: salita pa,43,"""Go up""",Go up
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
ulol,,1,[Team0][Player1]: ulol,43,"""crazy"" or ""fool""",crazy or fool
u offlane god,,4,[Team0][Player4]: u offlane god,43,"""you offlane god""",you offlane god
end it now?,,2,[Team0][Player2]: end it now?,43,end it now?,end it now?
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
bolok mo naman pala eh,,1,[Team0][Player1]: bolok mo naman pala eh,43,"""You're such a fool.""",You're such a f***.
hi offlane god,,4,[Team0][Player4]: hi offlane god,43,"""hi offlane god""",hi offlane god
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
OMG,,5,[Team1][Player0]: OMG,43,OMG,OMG
takbo,,1,[Team0][Player1]: takbo,43,Run,Run
IM DONE,,5,[Team1][Player0]: IM DONE,43,I'm done.,I'm done.
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
bat tatakbo pa?,,1,[Team0][Player1]: bat tatakbo pa?,43,"""why run away?""",why run away?
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
OFFLANE GOD <3,,4,[Team0][Player4]: OFFLANE GOD <3,43,"""OFFLANE GOD <3""",OFFLANE GOD <3
BAT KAPA BA TATAKBO?,,1,[Team0][Player1]: BAT KAPA BA TATAKBO?,43,"""WHY ARE YOU STILL RUNNING?""",WHY ARE YOU STILL RUNNING?
hee?,,2,[Team0][Player2]: hee?,43,"""hee?""",hee?
hehe?,,2,[Team0][Player2]: hehe?,43,"""hehe?""",hehe?
can talk now?,,2,[Team0][Player2]: can talk now?,43,"""can talk now?""",can talk now?
hehe?,,2,[Team0][Player2]: hehe?,43,"""hehe?""",hehe?
WAW,,1,[Team0][Player1]: WAW,43,WOW,WOW
wow,,2,[Team0][Player2]: wow,43,wow,wow
comeback,,2,[Team0][Player2]: comeback,43,comeback,comeback
end na,,1,[Team0][Player1]: end na,43,"""end now""",end now
mirana,,4,[Team0][Player4]: mirana,43,mirana,mirana
talo na kami,,1,[Team0][Player1]: talo na kami,43,"""We already lost""",We already lost
u done?,,4,[Team0][Player4]: u done?,43,"""Are you done?""",Are you done?
hahaha,,4,[Team0][Player4]: hahaha,43,hahaha,hahaha
yeah im done,,1,[Team0][Player1]: yeah im done,43,yeah im done,yeah im done
wow arrow god,,4,[Team0][Player4]: wow arrow god,43,wow arrow god,wow arrow god
hehe,,2,[Team0][Player2]: hehe,43,hehe,hehe
hopeless Opus doto bestt arrow doto,,4,[Team0][Player4]: hopeless Opus doto bestt arrow doto,43,"""hopeless Opus Dota best arrow Dota""",hopeless Opus Dota best arrow Dota
rofl,,2,[Team0][Player2]: rofl,43,rofl,rofl
hahaha,,2,[Team0][Player2]: hahaha,43,hahaha,hahaha
ez,,2,[Team0][Player2]: ez,43,easy,easy
nobos,,2,[Team0][Player2]: nobos,43,"""noobs""",noobs
offlane god,,4,[Team0][Player4]: offlane god,43,offlane god,offlane god
noob team,,5,[Team1][Player0]: noob team,43,noob team,noob team
GG,,5,[Team1][Player0]: GG,43,GG,GG
<3,,4,[Team0][Player4]: <3,43,<3,<3
bad idea,,8,[Team1][Player3]: bad idea,86,bad idea,bad idea
lol,,8,[Team1][Player3]: lol,86,lol,lol
report tinker,,3,[Team0][Player3]: report tinker,86,report tinker,report tinker
pls,,3,[Team0][Player3]: pls,86,please,please
nppb,,1,[Team0][Player1]: nppb,86,no problem please bro,no problem please bro
noob,,1,[Team0][Player1]: noob,86,noob,noob
epic brazil,,1,[Team0][Player1]: epic brazil,86,epic Brazil,epic Brazil
lol,,8,[Team1][Player3]: lol,86,lol,lol
lol,,1,[Team0][Player1]: lol,86,lol,lol
gg invoker,,8,[Team1][Player3]: gg invoker,86,gg invoker,gg invoker
xd,,8,[Team1][Player3]: xd,86,xd,xd
epic necro 2k,,1,[Team0][Player1]: epic necro 2k,86,epic necro 2k,epic necro 2k
brazil detecte,,1,[Team0][Player1]: brazil detecte,86,"""Brazil detected""",Brazil detected
gg comend,,1,[Team0][Player1]: gg comend,86,"""gg commend""",gg commend
gg peruanos,,2,[Team0][Player2]: gg peruanos,86,"""gg Peruvians""",gg *********
